Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2021-04-20 17:29:00,55728.38,55796.54,55717.77,55795.66,4.26,237549.89,55767.34
2021-04-20 17:30:00,55802.12,55802.13,55635.01,55660.35,12.79,712732.18,55728.31
2021-04-20 17:31:00,55679.83,55725.68,55679.34,55696.6,3.69,205457.6,55705.1
2021-04-20 17:32:00,55701.72,55742.13,55696.6,55723.91,0.94,52113.21,55713.37
2021-04-20 17:33:00,55706.5,55719.63,55691.95,55706.36,0.54,30096.69,55709.73
2021-04-20 17:34:00,55693.9,55758.54,55693.9,55745.08,0.8,44688.03,55718.18
2021-04-20 17:35:00,55740.63,55776.37,55677.92,55712.63,0.52,28722.91,55735.82
2021-04-20 17:36:00,55712.63,55724.7,55665.39,55723.75,1.49,83024.26,55708.88
2021-04-20 17:37:00,55724.7,55747.12,55711,55732.54,0.5,27908.32,55731.49
2021-04-20 17:38:00,55720.39,55725.5,55698.53,55707.28,0.14,7600.72,55711.49
2021-04-20 17:39:00,55707.42,55783.04,55707.42,55762.97,0.18,9957.3,55751.2
2021-04-20 17:40:00,55765.7,55829.22,55748.97,55812.97,1.92,107316.45,55797.97
2021-04-20 17:41:00,55824.53,55824.53,55751.66,55751.66,0.04,2406.35,55778.09
2021-04-20 17:42:00,55792.5,55835.04,55779.85,55835.04,0.53,29397.4,55796.08
2021-04-20 17:43:00,55835.04,55835.79,55813.95,55833.89,0.28,15699.45,55827.87
2021-04-20 17:44:00,55835.79,55835.79,55777.08,55812.68,1.9,106040.5,55802.43
2021-04-20 17:45:00,55799.55,55858.24,55799.55,55839.77,2.75,153404.85,55825.58
2021-04-20 17:46:00,55856.78,55930.42,55855.52,55886.53,10.64,595178.83,55913.45
2021-04-20 17:47:00,55885.45,55928.1,55874.27,55924.97,3.71,207467.21,55907.63
2021-04-20 17:48:00,55940.08,55942.94,55900.92,55936.91,0.91,50961.6,55917.54
2021-04-20 17:49:00,55936.91,55937.83,55917.46,55923.56,1.37,76811.59,55926.86
2021-04-20 17:50:00,55923.56,55924.1,55848.11,55897.65,3.16,176536.14,55888.17
2021-04-20 17:51:00,55898.79,55978.97,55897.52,55949.81,2.24,125173.6,55948.21
2021-04-20 17:52:00,55951.89,55951.89,55901.09,55901.09,4.41,246967.77,55938.42
2021-04-20 17:53:00,55901.09,55985.2,55901.09,55957.94,2.06,115025.34,55955.51
2021-04-20 17:54:00,55973.01,55994.19,55954.04,55971.76,1.87,104719.89,55972.99
2021-04-20 17:55:00,55971.77,55993.06,55958.39,55982.89,0.86,48117.34,55978.5
2021-04-20 17:56:00,55967.46,55985.63,55945.06,55966.22,0.94,52580.67,55966
2021-04-20 17:57:00,55966.22,56000,55959.3,56000,0.32,17857.54,55967.47
2021-04-20 17:58:00,55999.9,56010.61,55977.43,55995.35,2.08,116635.55,55999.68
2021-04-20 17:59:00,56010.31,56010.31,55942.7,55942.7,2.3,128504.27,55964.77
2021-04-20 18:00:00,55961.3,55961.3,55830.43,55854.4,3.52,196606.02,55872.39
2021-04-20 18:01:00,55854.4,55854.4,55782.4,55821.88,2.56,142975.51,55838.8
2021-04-20 18:02:00,55839.82,55839.82,55777.17,55791.38,0.76,42593.33,55782.77
2021-04-20 18:03:00,55793.81,55879.68,55793.81,55853.79,3.94,219871.79,55841.31
2021-04-20 18:04:00,55877.08,55916.21,55849.86,55868.1,0.89,49707.2,55881.42
2021-04-20 18:05:00,55882.78,55991.77,55878.29,55980.89,3.64,203399.01,55928.03
2021-04-20 18:06:00,55980.89,55998.16,55947.53,55998.16,0.22,12319.17,55977.07
2021-04-20 18:07:00,55994.17,56004.67,55974.65,55997.51,3.07,172107.38,55992.15
2021-04-20 18:08:00,55996.33,56012.31,55981.93,56012.31,0.36,20357.91,55984.4
2021-04-20 18:09:00,56007.27,56008.44,55989.01,55989.01,0.65,36505.78,56002.58
2021-04-20 18:10:00,56003.49,56016.47,55954.11,55984.57,6.99,391544.96,55977.56
2021-04-20 18:11:00,55980.69,55996.37,55955.75,55980.17,0.61,34234.21,55960.2
2021-04-20 18:12:00,55979.72,55979.72,55936.79,55967.2,4.4,246312.87,55952.09
2021-04-20 18:13:00,55959.72,56046.15,55956.35,56036.2,3.94,220842.83,55985.44
2021-04-20 18:14:00,56036.2,56056.67,55981.09,56037.92,5.39,301803.93,56037.74
2021-04-20 18:15:00,56031.62,56037.66,56004.37,56034.07,3.14,175713.18,56024
2021-04-20 18:16:00,56025.13,56080.19,56025.13,56070.51,11.34,635824.97,56045.4
2021-04-20 18:17:00,56060.69,56086.69,56032.99,56060.1,6.29,352533.31,56064.23
2021-04-20 18:18:00,56061.09,56080.73,55983.6,56078.31,32.3,1810757.58,56063.87
2021-04-20 18:19:00,56051.92,56068.16,55940.69,56000.12,9.87,552800.34,56007.04
2021-04-20 18:20:00,55996.39,56086.2,55992.63,56064.4,6.82,382138.42,56018.37
2021-04-20 18:21:00,56057.03,56083.37,56044.77,56079.83,1.66,92844.15,56064.2
2021-04-20 18:22:00,56073.36,56093.22,56032.75,56042.06,7.66,429430.13,56060.63
2021-04-20 18:23:00,56067.13,56079.81,56046.58,56071.26,5.45,305328.64,56056.76
2021-04-20 18:24:00,56071.14,56083.65,56060.8,56083.65,2.49,139376.54,56071.91
2021-04-20 18:25:00,56098.19,56178.06,56066.58,56178.06,12.49,700609.64,56113.91
2021-04-20 18:26:00,56164.23,56187.42,56164.23,56187.42,2.86,160564.44,56180.52
2021-04-20 18:27:00,56183.37,56183.37,56107.88,56136.5,1.44,80639.56,56139.48
2021-04-20 18:28:00,56147.53,56210.37,56144.95,56164.2,1.46,81797.92,56194.73
2021-04-20 18:29:00,56164.2,56246.63,56164.2,56238.57,4.31,242067.73,56194.03
2021-04-20 18:30:00,56219.5,56239.86,56198.45,56222.62,0.52,29127.71,56231.01
2021-04-20 18:31:00,56233.17,56233.17,56171.35,56196.41,1.5,84506.5,56182.34
2021-04-20 18:32:00,56196.41,56223.23,56185.86,56200,0.49,27804.57,56196.95
2021-04-20 18:33:00,56200,56217.22,56061.18,56061.18,20.3,1139560.63,56141.3
2021-04-20 18:34:00,56110.3,56110.3,55991.46,55998.53,6.3,352947.94,56036.01
2021-04-20 18:35:00,56021.2,56021.2,55949.92,56011.61,2.7,151392.2,55982
2021-04-20 18:36:00,56017.17,56088.04,56008.71,56041.87,3.99,223417.24,56047.18
2021-04-20 18:37:00,56036.31,56113.49,56030.58,56089.69,1.64,92199.24,56072.66
2021-04-20 18:38:00,56091.46,56116.84,56052.97,56052.97,1.12,62749.47,56084.14
2021-04-20 18:39:00,56047.95,56121.53,56047.95,56117.96,1.5,84247.37,56105.83
2021-04-20 18:40:00,56136.78,56148.62,56109.75,56109.75,2.51,140885.11,56120.69
2021-04-20 18:41:00,56109.76,56126.98,56092.02,56121.45,0.33,18346.67,56119.89
2021-04-20 18:42:00,56114.75,56114.75,56051.16,56085.38,0.8,44922.6,56076.73
2021-04-20 18:43:00,56082.77,56105.63,56082.77,56102.06,0.11,6163.33,56101.58
2021-04-20 18:44:00,56102.01,56102.06,56086.95,56102.06,2.34,131352.94,56089.15
2021-04-20 18:45:00,56102.06,56161.84,56093.93,56158.32,11.9,667693.74,56104.36
2021-04-20 18:46:00,56143.98,56156.68,56140.05,56156.29,4.31,241815.17,56152.74
2021-04-20 18:47:00,56154.72,56154.72,56114.47,56142.45,5.01,281098.6,56136.34
2021-04-20 18:48:00,56142.45,56143.11,56124.92,56132.27,1.74,97723.57,56134.48
2021-04-20 18:49:00,56133.71,56221.3,56120.96,56174.68,29.16,1637600,56156.25
2021-04-20 18:50:00,56173.15,56251.86,56173.15,56250.01,33.93,1907908.16,56223.98
2021-04-20 18:51:00,56249.2,56371.43,56247.82,56359.98,34.57,1946824.06,56321.67
2021-04-20 18:52:00,56359.98,56443.45,56332.05,56418.69,29.11,1641381.85,56384.3
2021-04-20 18:53:00,56418.69,56432.95,56372.86,56400.16,14.53,819903.4,56414.04
2021-04-20 18:54:00,56418.17,56432.41,56342.46,56342.47,16.8,947132.5,56379.02
2021-04-20 18:55:00,56342.47,56399.91,56303.09,56314.08,10.2,574730.48,56352.11
2021-04-20 18:56:00,56311.65,56318.89,56268.11,56276.35,11.83,666055.75,56299.82
2021-04-20 18:57:00,56301.42,56382,56301.42,56381.2,8.49,478207.02,56327.11
2021-04-20 18:58:00,56381.2,56383.75,56275.33,56279.98,4.11,231349.4,56333.64
2021-04-20 18:59:00,56285.84,56308.75,56246.41,56305.87,7.03,395506.64,56265.53
2021-04-20 19:00:00,56323.93,56413.29,56307.33,56413.29,6.06,341462.56,56389.2
2021-04-20 19:01:00,56415.69,56543.73,56362.1,56416.1,11.33,639255.97,56445.05
2021-04-20 19:02:00,56397.9,56411.38,56299.72,56299.72,0.73,41042.63,56326.31
2021-04-20 19:03:00,56299.49,56480.24,56297.48,56461.22,8.03,452849.92,56364.41
2021-04-20 19:04:00,56461.22,56525.35,56426.2,56426.2,3.55,200341.1,56478.89
2021-04-20 19:05:00,56424.4,56437.53,56386.62,56410.05,0.86,48307.99,56400.41
2021-04-20 19:06:00,56410.05,56461.44,56400.87,56450.03,1.35,75893.58,56421.84
2021-04-20 19:07:00,56450,56450,56371.58,56371.76,1.03,57860.49,56402.98
2021-04-20 19:08:00,56376.14,56395.53,56368.45,56373.44,1.37,77217.42,56375.93
2021-04-20 19:09:00,56385.85,56466.14,56370.26,56464.82,0.27,15510.05,56428.87
2021-04-20 19:10:00,56451.2,56451.2,56349.87,56377.33,4.62,260596.4,56397.06
2021-04-20 19:11:00,56376.35,56432.87,56373.65,56414.74,2.91,164324.46,56387.07
2021-04-20 19:12:00,56402.66,56404.42,56346.49,56396.2,2.8,157847.42,56368.08
2021-04-20 19:13:00,56378.12,56380,56302.28,56362.44,2.72,153370.64,56355.25
2021-04-20 19:14:00,56362.47,56399.76,56338.79,56338.79,3.23,182143.14,56352.92
2021-04-20 19:15:00,56338.32,56418.98,56338.32,56399.91,1.97,111058.12,56391.52
2021-04-20 19:16:00,56426.08,56426.08,56353.78,56356.52,0.36,20423.06,56386.39
2021-04-20 19:17:00,56350.68,56359.47,56331.63,56357.75,0.91,51525.29,56344.01
2021-04-20 19:18:00,56355.21,56356.43,56258.32,56258.4,0.55,30899.85,56301.44
2021-04-20 19:19:00,56258.4,56354.64,56247.34,56354.44,8.12,456749.3,56254.71
2021-04-20 19:20:00,56369,56388.02,56350.25,56388.02,2.09,117631.97,56380.15
2021-04-20 19:21:00,56404.98,56404.98,56339.12,56339.12,4.78,269741.07,56380.12
2021-04-20 19:22:00,56330.57,56358.31,56300.28,56358.31,2.08,116937.9,56335.99
2021-04-20 19:23:00,56358.31,56375.19,56352.12,56374.11,0.32,17754.77,56360.23
2021-04-20 19:24:00,56375.19,56399,56375.19,56392.62,0.11,6411.89,56383.17
2021-04-20 19:25:00,56392.11,56470.55,56374.86,56456.13,10.3,581416.74,56433.24
2021-04-20 19:26:00,56447.75,56469.44,56429.3,56449.29,1.73,97424.44,56447.95
2021-04-20 19:27:00,56423.59,56534.31,56423.59,56534.31,9.4,531085.68,56481.51
2021-04-20 19:28:00,56543.73,56555,56507.11,56514.12,2.48,140274.87,56529.8
2021-04-20 19:29:00,56514.12,56514.12,56463.86,56483.06,3.06,173050.86,56464.37
2021-04-20 19:30:00,56483.06,56623.49,56483.06,56588.82,12.6,713070.36,56578.6
2021-04-20 19:31:00,56584.48,56639.49,56584.48,56622.91,9.13,517100.5,56608.93
2021-04-20 19:32:00,56611.85,56614.01,56588.23,56591.09,4.21,238271.19,56600.8
2021-04-20 19:33:00,56568.32,56586.2,56548.91,56576.09,3.08,174194.3,56568.97
2021-04-20 19:34:00,56576.14,56576.14,56528.13,56551.93,1.64,92672.07,56549.94
2021-04-20 19:35:00,56551.93,56608.89,56551.93,56591.28,0.71,40086.59,56570.47
2021-04-20 19:36:00,56606.59,56645.9,56564.52,56580.79,5.24,296845.48,56627.41
2021-04-20 19:37:00,56590.91,56732.4,56559.65,56666.97,7.92,448683.66,56648.43
2021-04-20 19:38:00,56666.97,56666.97,56553.16,56553.16,2.11,119414.72,56587.74
2021-04-20 19:39:00,56553.16,56676.81,56553.16,56618.4,5.94,336118.15,56592.51
2021-04-20 19:40:00,56577.92,56590.44,56516.14,56516.14,3.78,213983.67,56552.88
2021-04-20 19:41:00,56530.56,56603.7,56518.67,56583.75,0.73,41158.38,56556.66
2021-04-20 19:42:00,56591.24,56682.01,56566.65,56663.53,1.43,80917.39,56620.54
2021-04-20 19:43:00,56672.34,56672.34,56633.05,56664.53,0.77,43747.85,56651.32
2021-04-20 19:44:00,56668.63,56745.45,56664.91,56717.03,8.65,490500.01,56712.62
2021-04-20 19:45:00,56710,56797.73,56675.7,56772.48,3.81,216074.35,56734.45
2021-04-20 19:46:00,56778.18,56796.35,56753.12,56753.12,3.52,199786.76,56772.11
2021-04-20 19:47:00,56753.12,56780.61,56672.47,56694.42,4.38,248257.85,56740.53
2021-04-20 19:48:00,56672.47,56748.96,56654.64,56660.82,2.61,148049.36,56698.14
2021-04-20 19:49:00,56636.33,56768.59,56636.32,56655.11,4.27,242271.81,56712.47
2021-04-20 19:50:00,56648.31,56680.03,56574.69,56574.69,2.79,158149.87,56633.74
2021-04-20 19:51:00,56569.82,56604.17,56525.3,56563.98,11.29,639132.74,56586.43
2021-04-20 19:52:00,56554.42,56580.78,56460.68,56477.49,12.62,712905.1,56505.47
2021-04-20 19:53:00,56471.57,56486.09,56381.08,56407.16,17.87,1008389.12,56418.34
2021-04-20 19:54:00,56407.56,56450.38,56367.93,56442.76,3.37,190169.2,56392.17
2021-04-20 19:55:00,56489.44,56522.67,56465.32,56517.53,3.76,212671.03,56501.07
2021-04-20 19:56:00,56529.44,56561.18,56507.6,56561.18,2.04,115537.74,56543.27
2021-04-20 19:57:00,56559.9,56587.31,56539.74,56556.43,1.06,59996.51,56553.82
2021-04-20 19:58:00,56550.26,56647.23,56550.26,56623.68,1.76,99641.08,56590.27
2021-04-20 19:59:00,56662.12,56679,56624.52,56639.29,1.07,60632.8,56663.29
2021-04-20 20:00:00,56639.28,56719.12,56639.28,56686.75,5.46,309302.36,56674.1
2021-04-20 20:01:00,56675.3,56747.8,56640.51,56640.51,11.75,666348.43,56711.34
2021-04-20 20:02:00,56636.73,56648.03,56554.22,56578.86,9.29,525925.1,56601.13
2021-04-20 20:03:00,56569.81,56571.26,56425.37,56444.73,2.28,128949.49,56531.34
2021-04-20 20:04:00,56442.53,56504.76,56430.19,56504.76,2.71,153026.46,56482.41
2021-04-20 20:05:00,56522.1,56566.49,56522.1,56553.03,10.73,606427.7,56535.9
2021-04-20 20:06:00,56548.81,56601.11,56525.51,56600,4.58,258797.65,56567.02
2021-04-20 20:07:00,56600,56611.18,56510.33,56512.32,8.96,506741.81,56580.25
